"depositor address","total deposited","total shares","total time","average time of deposit","portion of the pool","number of deposits","claimed","total rewards","unclaimed","USD value of deposit(s)","percent claimed"
"0x089506e015701A6e4B75E9879aA32CdC5fa2Da6A",10841.26,401126.61,"1095 days","1095 days","1.6250%",1,0,181.71972657831068,181.71972657831068,1855.5032803798529,"0.00%"
"0xA24B6cF86c1Fcf38EA2E83b3B81979A74CCD0B0F",5520.02,71760.3,"365 days","365 days","0.2907%",1,0,32.50909323654985,32.50909323654985,944.7630066624038,"0.00%"
"0xc44ABffdb232befB250bc1F69E83F7c6bC2dfFe1",6464.46,84037.98,"365 days","365 days","0.3404%",1,0,38.071168763294615,38.071168763294615,1106.4052634824975,"0.00%"
"0xF5E7bC20bA10A6799a69c6A3e7A027510C3621Aa",1379.44,26186.76,"547 days","547 days","0.1061%",1,0,11.863214638815842,11.863214638815842,236.09460714035654,"0.00%"
"0x8C21143e60363683e28247b71Dd017Fa30c193Bb",589,7657,"365 days","365 days","0.0310%",1,0,3.4687999135029637,3.4687999135029637,100.808528,"0.00%"
"0xAeD55B0EBB566E4ed491F68Ef0eC4e705C7a1523",500000.92,4382746.13,"635 days","212 days","17.7544%",3,0,1985.4864062851684,1985.4864062851684,85576.15780542468,"0.00%"
"0xa827782576F3CC80f22D4103AC5d3B84F2b1B61A",1045.81,38695.12,"1095 days","1095 days","0.1568%",1,0,17.529792743897314,17.529792743897314,178.9931591530506,"0.00%"
"0xEC77078723E26E0C3f620bE1AAbC4FA5c3F4e1F6",3594.3,57361.17,"455 days","455 days","0.2324%",1,0,25.985948076319666,25.985948076319666,615.1724489356969,"0.00%"
"0xB4ba4A55593C1C53ede2E5E88d70180Dcb0CeF14",1,13.99,"395 days","395 days","0.0001%",1,0,0.006336110981541354,0.006336110981541354,0.171152,"0.00%"
"0x8B8971Bdf4eBe3D96295598B2F71C105ccF7359E",1194.49,44196.29,"1095 days","1095 days","0.1790%",1,0,20.02195412504506,20.02195412504506,204.44011367486948,"0.00%"
"0x5a40a4202331c32a81b77f1FC2b32AAA5A1E279e",10218.53,378085.52,"1095 days","1095 days","1.5316%",1,0,171.28157701520533,171.28157701520533,1748.9214517576809,"0.00%"
"0xc080E234DBA2545E93872cE6E96E683A4e29046b",9596.19,182169.92,"547 days","547 days","0.7380%",1,0,82.5272317467806,82.5272317467806,1642.4076399904193,"0.00%"
"0x47A6bA43aFB85E0aF1C4b0c25438ee8C2cCb63C1",102470.28,3791400.48,"1095 days","1095 days","15.3588%",1,0,1571.3129547691615,1571.3129547691615,17537.993936536903,"0.00%"
"0xc841Cd0ad77D714b3c6Ad86C1160034a1F11fEd3",4581.98,31847.88,"181 days","181 days","0.1290%",1,0,13.199077691127057,13.199077691127057,784.2146135947522,"0.00%"
"0xea8f0e34b4E47dF168Abf2F28A51605eD1cCAcaf",275,10174.86,"1095 days","1095 days","0.0412%",1,0,4.216884214283267,4.216884214283267,47.06617453684953,"0.00%"
"0xeFC4D4d2eB41688cD48C251Ad7630cCb256D7fcE",6114.89,226250.84,"1095 days","1095 days","0.9165%",1,0,93.76769181690483,93.76769181690483,1046.5752258559644,"0.00%"
"0x73463c8bE64D10367730774c212C7BE5178e6B04",3776.13,49089.72,"365 days","365 days","0.1989%",1,0,20.3448075452968,20.3448075452968,646.292598350227,"0.00%"
"0x1f92D728f2cA8b589Cd2432C86864166CA34C285",4475.61,22132.84,"120 days","120 days","0.0897%",1,0,9.172761305157906,9.172761305157906,766.01045848,"0.00%"
"0x05b7812824A48Cb10EF5A3B701a8B55B7807dE25",2158.86,19335.08,"242 days","242 days","0.0783%",1,0,7.542989898861286,7.542989898861286,369.4927827749194,"0.00%"
"0x215D268F7F23ae7256c4DA4Fe8Dd01D5883A8cBc",36662.86,988892.72,"790 days","790 days","4.0060%",1,0,385.7861832133926,385.7861832133926,6274.921589344901,"0.00%"
"0xC55cF647C1142AD47342Bcd132CBF05f07110e3F",1186.87,15429.26,"365 days","365 days","0.0625%",1,0,5.660087252459706,5.660087252459706,203.13456169730716,"0.00%"
